date_mutation;valeur_fonciere;code_postal;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain;latitude;longitude
15/01/2019;7800000;75001;2;Appartement;26;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;28;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;21;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;16;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;24;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;26;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;20;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;29;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;22;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;24;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;33;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;26;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;21;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;16;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;16;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;24;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;20;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;25;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;16;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;16;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;20;1;424;48.862541;2.341063
15/01/2019;7800000;75001;4;Local_indu_com_ou_assimile;212;0;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;28;1;424;48.862541;2.341063
15/01/2019;7800000;75001;2;Appartement;21;1;424;48.862541;2.341063
21/01/2019;312200;75008;2;Appartement;31;2;;48.878124;2.316915
18/01/2019;515000;75008;2;Appartement;42;2;;48.876388;2.303375
22/01/2019;520000;75001;4;Local_indu_com_ou_assimile;45;0;;48.860019;2.347383
14/01/2019;400000;75001;2;Appartement;40;2;;48.862374;2.339872
03/01/2019;270750;75001;2;Appartement;24;1;;48.865857;2.332422
10/01/2019;595000;75003;2;Appartement;53;2;;48.862057;2.365563
24/01/2019;342000;75003;2;Appartement;37;2;;48.867026;2.35849
10/01/2019;203000;75008;2;Appartement;12;1;;48.87088;2.31754
14/01/2019;1134000;75003;2;Appartement;97;4;;48.861745;2.366633
18/01/2019;65000;75008;2;Appartement;18;1;;48.865696;2.307482
23/01/2019;74000;75008;4;Local_indu_com_ou_assimile;10;0;;48.871404;2.308571
23/01/2019;74000;75008;3;Dependance;;0;;48.871404;2.308571
11/01/2019;2400000;75008;3;Dependance;;0;;48.865627;2.304497
11/01/2019;2400000;75008;3;Dependance;;0;;48.865627;2.304497
11/01/2019;2400000;75008;2;Appartement;68;1;;48.865627;2.304497
11/01/2019;2625000;75008;4;Local_indu_com_ou_assimile;220;0;;48.878474;2.31739
11/01/2019;400000;75003;4;Local_indu_com_ou_assimile;47;0;;48.868113;2.359149
14/01/2019;830000;75003;4;Local_indu_com_ou_assimile;105;0;;48.865909;2.362564
03/01/2019;353000;75008;2;Appartement;33;1;;48.874195;2.306669
24/01/2019;190000;75001;2;Appartement;6;1;;48.863929;2.345291
24/01/2019;190000;75001;2;Appartement;15;1;;48.863929;2.345291
29/01/2019;737400;75003;2;Appartement;49;2;;48.860798;2.360825
28/01/2019;3000;75003;4;Local_indu_com_ou_assimile;58;0;;48.865319;2.359892
23/01/2019;205000;75008;2;Appartement;23;1;;48.871005;2.309475
14/01/2019;120000;75008;3;Dependance;;0;;48.879747;2.315226
14/01/2019;120000;75008;4;Local_indu_com_ou_assimile;20;0;;48.879747;2.315226
18/01/2019;800000;75008;4;Local_indu_com_ou_assimile;40;0;;48.871089;2.30569
10/01/2019;540000;75008;2;Appartement;47;2;;48.872677;2.309771
11/01/2019;345000;75001;2;Appartement;32;2;;48.860863;2.344146
24/01/2019;1150000;75008;4;Local_indu_com_ou_assimile;80;0;;48.872989;2.325597
07/01/2019;425000;75003;2;Appartement;30;2;;48.863879;2.354747
10/01/2019;350000;75001;4;Local_indu_com_ou_assimile;35;0;;48.863545;2.341748
10/01/2019;15000;75001;4;Local_indu_com_ou_assimile;572;0;;48.863545;2.341748
23/01/2019;85000;75001;2;Appartement;10;1;;48.862374;2.339872
24/01/2019;735000;75003;2;Appartement;51;2;;48.860377;2.360511
18/01/2019;159000;75008;3;Dependance;;0;;48.879648;2.322122
18/01/2019;159000;75008;2;Appartement;12;1;;48.879648;2.322122
14/01/2019;195000;75008;2;Appartement;21;1;;48.877899;2.300027
10/01/2019;3000000;75003;4;Local_indu_com_ou_assimile;210;0;;48.86319;2.351171
10/01/2019;3000000;75003;2;Appartement;43;2;;48.86319;2.351171
21/01/2019;1548050;75003;2;Appartement;134;4;;48.862774;2.35198
25/01/2019;425000;75003;2;Appartement;33;2;;48.857997;2.364704
18/01/2019;175000;75003;2;Appartement;13;1;;48.863236;2.359208
24/01/2019;1740000;75008;3;Dependance;;0;;48.881324;2.323063
24/01/2019;1740000;75008;2;Appartement;142;6;;48.881324;2.323063
18/01/2019;253800;75003;2;Appartement;31;1;;48.86825;2.354681
28/01/2019;1650000;75003;2;Appartement;170;2;;48.856594;2.367798
21/01/2019;1570000;75008;2;Appartement;100;4;;48.869577;2.300028
21/01/2019;724500;75003;3;Dependance;;0;;48.860397;2.36367
21/01/2019;724500;75003;2;Appartement;44;2;;48.860397;2.36367
21/01/2019;724500;75003;3;Dependance;;0;;48.860397;2.36367
21/01/2019;724500;75003;2;Appartement;149;5;;48.860397;2.36367
21/01/2019;724500;75003;2;Appartement;32;2;;48.860397;2.36367
18/01/2019;750000;75003;4;Local_indu_com_ou_assimile;33;0;;48.861132;2.354046
10/01/2019;10000;75003;4;Local_indu_com_ou_assimile;12;0;;48.866045;2.362866
23/01/2019;853370;75001;2;Appartement;70;2;;48.861296;2.342239
10/01/2019;275000;75008;2;Appartement;25;2;;48.881334;2.325764
15/01/2019;455000;75003;2;Appartement;33;1;;48.863572;2.362937
29/01/2019;300000;75001;2;Appartement;27;1;;48.86202;2.340441
16/01/2019;235000;75003;2;Appartement;28;1;;48.862007;2.362127
11/01/2019;590000;75008;2;Appartement;51;3;;48.882558;2.324827
22/01/2019;312500;75003;2;Appartement;27;2;;48.864995;2.365226
21/01/2019;820000;75003;2;Appartement;57;2;;48.857841;2.367539
29/01/2019;233000;75003;2;Appartement;22;1;;48.85777;2.366228
11/01/2019;449050;75003;4;Local_indu_com_ou_assimile;60;0;;48.86546;2.357786
21/01/2019;1500;75008;4;Local_indu_com_ou_assimile;57;0;;48.872774;2.316261
21/01/2019;1661000;75008;2;Appartement;100;4;;48.872774;2.316261
21/01/2019;1661000;75008;4;Local_indu_com_ou_assimile;30;0;;48.872774;2.316261
28/01/2019;37500;75008;4;Local_indu_com_ou_assimile;10;0;;48.871404;2.308571
25/01/2019;350000;75003;2;Appartement;30;2;;48.863987;2.357139
15/01/2019;1050000;75001;2;Appartement;37;2;;48.865577;2.331474
15/01/2019;1050000;75001;2;Appartement;46;2;;48.865577;2.331474
22/01/2019;570000;75008;2;Appartement;53;2;;48.874026;2.314715
10/01/2019;24000;75008;3;Dependance;;0;;48.872688;2.313418
29/01/2019;100000;75008;2;Appartement;16;1;;48.882558;2.324827
25/01/2019;300800;75008;2;Appartement;27;2;;48.875738;2.312379
24/01/2019;1160000;75008;2;Appartement;92;4;;48.874606;2.325592
24/01/2019;1160000;75008;2;Appartement;98;4;;48.874606;2.325592
09/01/2019;1290000;75008;3;Dependance;;0;;48.866158;2.306715
09/01/2019;1290000;75008;2;Appartement;90;3;;48.866158;2.306715
31/01/2019;590000;75003;2;Appartement;60;3;;48.864435;2.364021
25/01/2019;1071100;75003;2;Appartement;57;2;;48.860274;2.365592
04/02/2019;274000;75003;2;Appartement;22;1;;48.866849;2.358324
