valeur_fonciere,code_postal,type_local,surface,nombre_pieces_principales,month,year
125000,75019,0,11,1,5,2020
1550000,75008,0,1272,5,1,2019
1550000,75008,0,1272,5,5,2020
599500,78000,0,93,5,1,2019
599500,78000,0,93,5,5,2020
500000,75008,0,1272,2,1,2019
500000,75008,0,1272,2,5,2020
420000,77410,1,220,8,1,2019
420000,77410,1,220,8,5,2020
1975000,75001,0,1272,6,1,2019
1975000,75001,0,1272,6,5,2020
363000,92170,0,45,2,1,2019
363000,92170,0,45,2,5,2020
35000,75008,2,1272,7,1,2019
35000,75008,2,1272,7,5,2020
340000,93450,0,84,4,1,2019
340000,93450,0,84,4,5,2020
10500,75003,2,1272,7,1,2019
10500,75003,2,1272,7,5,2020
160000,93140,0,85,5,1,2019
160000,93140,0,85,5,5,2020
55000,75008,2,1272,7,1,2019
55000,75008,2,1272,7,5,2020
385200,95320,1,148,7,1,2019
385200,95320,1,148,7,5,2020
1800000,75003,0,1272,5,1,2019
1800000,75003,0,1272,5,5,2020
480000,93300,0,100,5,1,2019
480000,93300,0,100,5,5,2020
560000,75003,0,1272,2,1,2019
560000,75003,0,1272,2,5,2020
1480000,75002,0,91,4,1,2019
1480000,75002,0,91,4,5,2020
6500000,75008,3,1272,7,1,2019
6500000,75008,3,1272,7,5,2020
730000,94340,0,90,4,1,2019
730000,94340,0,90,4,5,2020
137000,93420,0,81,4,1,2019
137000,93420,0,81,4,5,2020
735000,75019,0,56,3,1,2019
735000,75019,0,56,3,5,2020
400000,75008,0,1272,2,1,2019
400000,75008,0,1272,2,5,2020
1100000,75012,0,100,5,1,2019
1100000,75012,0,100,5,5,2020
1800000,75008,2,1272,7,1,2019
1800000,75008,2,1272,7,5,2020
385000,94500,1,290,8,1,2019
385000,94500,1,290,8,5,2020
1800000,75008,0,1272,4,1,2019
1800000,75008,0,1272,4,5,2020
225000,77670,1,90,5,1,2019
225000,77670,1,90,5,5,2020
750000,75003,0,1272,4,1,2019
750000,75003,0,1272,4,5,2020
120000,75020,0,13,1,1,2019
120000,75020,0,13,1,5,2020
1150000,75001,3,1272,7,1,2019
1150000,75001,3,1272,7,5,2020
650000,94400,1,150,6,1,2019
650000,94400,1,150,6,5,2020
1595000,75003,2,1272,7,1,2019
1595000,75003,2,1272,7,5,2020
186600,78370,0,68,3,1,2019
186600,78370,0,68,3,5,2020
1595000,75003,0,1272,4,1,2019
1595000,75003,0,1272,4,5,2020
310000,75018,0,24,2,1,2019
310000,75018,0,24,2,5,2020
1595000,75003,3,1272,7,1,2019
1595000,75003,3,1272,7,5,2020
399000,93290,1,138,7,1,2019
399000,93290,1,138,7,5,2020
914000,75003,3,1272,7,1,2019
914000,75003,3,1272,7,5,2020
590000,91490,1,240,7,1,2019
590000,91490,1,240,7,5,2020
675000,75008,0,1272,3,1,2019
675000,75008,0,1272,3,5,2020
999000,75001,0,80,4,1,2019
999000,75001,0,80,4,5,2020
2350000,75008,0,1272,7,1,2019
2350000,75008,0,1272,7,5,2020
17500,75020,4,13,4,1,2019
17500,75020,4,13,4,5,2020
2350000,75008,2,1272,7,1,2019
2350000,75008,2,1272,7,5,2020
441000,94240,1,75,5,1,2019
441000,94240,1,75,5,5,2020
1028700,75008,0,1272,3,1,2019
1028700,75008,0,1272,3,5,2020
1090000,75010,0,115,5,1,2019
1090000,75010,0,115,5,5,2020
1912417,75008,0,1272,3,1,2019
1912417,75008,0,1272,3,5,2020
1160000,75116,0,75,2,1,2019
1160000,75116,0,75,2,5,2020
300000,75001,0,1272,2,1,2019
300000,75001,0,1272,2,5,2020
339000,75020,0,25,4,1,2019
339000,75020,0,25,4,5,2020
724000,75003,0,1272,2,1,2019
724000,75003,0,1272,2,5,2020
655000,92330,0,108,5,1,2019
655000,92330,0,108,5,5,2020
545000,75001,0,1272,2,1,2019
545000,75001,0,1272,2,5,2020
228600,91070,0,75,4,1,2019
228600,91070,0,75,4,5,2020
940000,75003,3,1272,7,1,2019
940000,75003,3,1272,7,5,2020
191000,78711,0,72,4,1,2019
191000,78711,0,72,4,5,2020
820000,75008,0,1272,3,1,2019
820000,75008,0,1272,3,5,2020
198000,95490,0,57,3,1,2019
198000,95490,0,57,3,5,2020
80000,75008,2,1272,7,1,2019
80000,75008,2,1272,7,5,2020
263000,93420,0,72,4,1,2019
263000,93420,0,72,4,5,2020
1240000,75003,0,1272,1,1,2019
1240000,75003,0,1272,1,5,2020
271000,93420,0,75,4,1,2019
271000,93420,0,75,4,5,2020
1240000,75003,0,1272,3,1,2019
1240000,75003,0,1272,3,5,2020
899600,78100,1,212,8,1,2019
899600,78100,1,212,8,5,2020
7800000,75001,0,424,1,1,2019
7800000,75001,0,424,1,5,2020
499000,94350,1,145,6,1,2019
499000,94350,1,145,6,5,2020
203000,77580,0,83,3,1,2019
203000,77580,0,83,3,5,2020
350000,92390,1,88,4,1,2019
350000,92390,1,88,4,5,2020
490000,78200,1,170,8,1,2019
490000,78200,1,170,8,5,2020
159500,78120,0,46,3,1,2019
159500,78120,0,46,3,5,2020
189000,93330,0,89,5,1,2019
189000,93330,0,89,5,5,2020
214000,93330,0,73,4,1,2019
214000,93330,0,73,4,5,2020
253000,93330,0,78,4,1,2019
253000,93330,0,78,4,5,2020
182000,93330,0,68,4,1,2019
182000,93330,0,68,4,5,2020
235000,93330,0,67,3,1,2019
235000,93330,0,67,3,5,2020
229000,93330,0,98,5,1,2019
229000,93330,0,98,5,5,2020
330000,93330,0,85,4,1,2019
330000,93330,0,85,4,5,2020
360000,75011,0,25,2,1,2019
360000,75011,0,25,2,5,2020
79000,78660,0,28,1,1,2019
79000,78660,0,28,1,5,2020
179000,93800,0,63,4,1,2019
179000,93800,0,63,4,5,2020
590000,92700,0,95,4,1,2019
590000,92700,0,95,4,5,2020
169000,78660,1,68,3,1,2019
169000,78660,1,68,3,5,2020
262000,78500,0,45,2,1,2019
262000,78500,0,45,2,5,2020
209000,78660,1,100,4,1,2019
209000,78660,1,100,4,5,2020
695000,75017,0,70,4,1,2019
695000,75017,0,70,4,5,2020
335000,95100,0,83,4,1,2019
335000,95100,0,83,4,5,2020
725000,75018,0,71,4,1,2019
725000,75018,0,71,4,5,2020
290000,78260,0,78,4,1,2019
290000,78260,0,78,4,5,2020
1081500,75010,0,115,5,1,2019
1081500,75010,0,115,5,5,2020
565000,93500,1,68,3,1,2019
565000,93500,1,68,3,5,2020
273000,94130,0,43,2,1,2019
273000,94130,0,43,2,5,2020
418000,91300,1,202,6,1,2019
418000,91300,1,202,6,5,2020
219500,78120,1,127,5,1,2019
219500,78120,1,127,5,5,2020
219500,78660,1,127,5,1,2019
219500,78660,1,127,5,5,2020
360000,93140,1,182,8,1,2019
360000,93140,1,182,8,5,2020
7800000,75001,3,424,7,1,2019
7800000,75001,3,424,7,5,2020
450000,75016,0,35,1,1,2019
450000,75016,0,35,1,5,2020
147000,91940,0,61,3,1,2019
147000,91940,0,61,3,5,2020
240000,93600,1,105,4,1,2019
240000,93600,1,105,4,5,2020
312200,75008,0,1272,2,1,2019
312200,75008,0,1272,2,5,2020
160000,78125,5,310,4,1,2019
160000,78125,5,310,4,5,2020
515000,75008,0,1272,2,1,2019
515000,75008,0,1272,2,5,2020
83000,77210,0,53,2,1,2019
83000,77210,0,53,2,5,2020
520000,75001,3,1272,7,1,2019
520000,75001,3,1272,7,5,2020
915000,94170,1,140,6,1,2019
915000,94170,1,140,6,5,2020
400000,75001,0,1272,2,1,2019
400000,75001,0,1272,2,5,2020
192000,78370,0,71,3,1,2019
192000,78370,0,71,3,5,2020
270750,75001,0,1272,1,1,2019
270750,75001,0,1272,1,5,2020
595000,75003,0,1272,2,1,2019
595000,75003,0,1272,2,5,2020
378000,94110,0,80,4,1,2019
378000,94110,0,80,4,5,2020
342000,75003,0,1272,2,1,2019
342000,75003,0,1272,2,5,2020
545000,75013,0,59,3,1,2019
545000,75013,0,59,3,5,2020
203000,75008,0,1272,1,1,2019
203000,75008,0,1272,1,5,2020
315000,94110,0,66,3,1,2019
315000,94110,0,66,3,5,2020
1134000,75003,0,1272,4,1,2019
1134000,75003,0,1272,4,5,2020
219000,95320,5,236,4,1,2019
219000,95320,5,236,4,5,2020
65000,75008,0,1272,1,1,2019
65000,75008,0,1272,1,5,2020
487500,93360,1,197,7,1,2019
487500,93360,1,197,7,5,2020
74000,75008,3,1272,7,1,2019
74000,75008,3,1272,7,5,2020
561000,92110,0,80,4,1,2019
561000,92110,0,80,4,5,2020
74000,75008,2,1272,7,1,2019
74000,75008,2,1272,7,5,2020
1239000,91470,6,430,4,1,2019
1239000,91470,6,430,4,5,2020
2400000,75008,2,1272,7,1,2019
2400000,75008,2,1272,7,5,2020
114000,93380,5,213,4,1,2019
114000,93380,5,213,4,5,2020
375000,77600,0,84,4,1,2019
375000,77600,0,84,4,5,2020
2400000,75008,0,1272,1,1,2019
2400000,75008,0,1272,1,5,2020
30000,92800,4,19,1,1,2019
30000,92800,4,19,1,5,2020
2625000,75008,3,1272,7,1,2019
2625000,75008,3,1272,7,5,2020
110000,75017,0,9,1,1,2019
110000,75017,0,9,1,5,2020
400000,75003,3,1272,7,1,2019
400000,75003,3,1272,7,5,2020
320000,78770,1,100,5,1,2019
320000,78770,1,100,5,5,2020
830000,75003,3,1272,7,1,2019
830000,75003,3,1272,7,5,2020
220500,78120,1,78,3,1,2019
220500,78120,1,78,3,5,2020
353000,75008,0,1272,1,1,2019
353000,75008,0,1272,1,5,2020
445000,92120,0,60,3,1,2019
445000,92120,0,60,3,5,2020
190000,75001,0,1272,1,1,2019
190000,75001,0,1272,1,5,2020
470000,91470,1,103,4,1,2019
470000,91470,1,103,4,5,2020
459800,77166,1,211,8,1,2019
459800,77166,1,211,8,5,2020
737400,75003,0,1272,2,1,2019
737400,75003,0,1272,2,5,2020
93000,78270,5,400,4,1,2019
93000,78270,5,400,4,5,2020
3000,75003,3,1272,7,1,2019
3000,75003,3,1272,7,5,2020
940000,92410,0,125,5,1,2019
940000,92410,0,125,5,5,2020
205000,75008,0,1272,1,1,2019
205000,75008,0,1272,1,5,2020
139000,77100,0,37,2,1,2019
139000,77100,0,37,2,5,2020
120000,75008,2,1272,7,1,2019
120000,75008,2,1272,7,5,2020
848000,94170,1,151,8,1,2019
848000,94170,1,151,8,5,2020
120000,75008,3,1272,7,1,2019
120000,75008,3,1272,7,5,2020
228000,91410,1,130,5,1,2019
228000,91410,1,130,5,5,2020
800000,75008,3,1272,7,1,2019
800000,75008,3,1272,7,5,2020
228000,78660,1,130,5,1,2019
228000,78660,1,130,5,5,2020
540000,75008,0,1272,2,1,2019
540000,75008,0,1272,2,5,2020
650000,93300,6,160,4,1,2019
650000,93300,6,160,4,5,2020
345000,75001,0,1272,2,1,2019
345000,75001,0,1272,2,5,2020
248500,78120,1,100,5,1,2019
248500,78120,1,100,5,5,2020
1150000,75008,3,1272,7,1,2019
1150000,75008,3,1272,7,5,2020
330000,75005,0,25,1,1,2019
330000,75005,0,25,1,5,2020
425000,75003,0,1272,2,1,2019
425000,75003,0,1272,2,5,2020
248500,78660,1,100,5,1,2019
248500,78660,1,100,5,5,2020
350000,75001,3,1272,7,1,2019
350000,75001,3,1272,7,5,2020
